The recipe,Source file count,Source file changed count,Cumulative scanning time (ns),Max scanning time (ns),Cumulative edit time (ns),Max edit time (ns)
The recipe whose stats are being measured both individually and cumulatively.,The number of source files the recipe ran over.,"The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.",The total time spent across the scanning phase of this recipe.,The max time scanning any one source file.,The total time spent across the editing phase of this recipe.,The max time editing any one source file.
org.openrewrite.apache.httpclient5.UpgradeApacheHttpCore_5_NioInputBuffers,10,0,4561,719,10018,1146
org.openrewrite.hibernate.TypeDescriptorToType,10,0,11596,1357,54981,9059
org.openrewrite.java.migrate.javax.AddJaxwsRuntime,10,0,0,0,3212,193
org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerWeakCompareAndSetToWeakCompareAndSetPlain,10,0,4724,1375,13339,1691
org.openrewrite.java.migrate.ReplaceAWTGetPeerMethod,10,0,0,0,17529,1825
org.openrewrite.apache.commons.lang.UpgradeApacheCommonsLang_2_3,10,0,23588,3041,41002,3623
org.openrewrite.java.migrate.RemovedFileIOFinalizeMethods,10,0,4562,1153,24359,5556
org.openrewrite.java.migrate.jakarta.JavaxJsonToJakartaJson,10,0,6328,1540,16498,3973
org.openrewrite.java.migrate.jakarta.JavaxWebXmlToJakartaWebXml,10,0,11310,4361,39103,7365
org.openrewrite.java.spring.security5.UseNewRequestMatchers,10,0,0,0,92621,9082
org.openrewrite.java.migrate.jakarta.JavaxBeansXmlToJakartaBeansXml,10,0,21141,8829,45989,7062
org.openrewrite.java.testing.junit5.JUnit4to5Migration,10,0,15241334,11516671,32380,3868
org.openrewrite.gradle.UpdateJavaCompatibility,10,0,0,0,408111,22230
org.openrewrite.xml.RemoveXmlTag,10,0,0,0,399452,220051
org.openrewrite.java.migrate.jakarta.RemovedJakartaFacesResourceResolver,10,0,11386,3260,43166,3924
org.openrewrite.java.spring.cloud2022.MigrateCloudSleuthToMicrometerTracing,10,0,8481,2192,18548,3030
org.openrewrite.apache.httpclient5.RemoveByteBufferAllocators,10,0,0,0,44502,7155
org.openrewrite.apache.httpclient5.MigrateAuthScope,10,0,0,0,84171,10920
org.openrewrite.java.migrate.jakarta.JavaxXmlBindMigrationToJakartaXmlBind,10,0,5809,966,16284,1926
org.openrewrite.java.testing.testcontainers.Testcontainers2Dependencies,10,0,18881,2384,32986,4003
org.openrewrite.maven.UpgradeParentVersion,10,0,0,0,80134256,54841344
org.openrewrite.java.spring.boot2.RemoveObsoleteSpringRunners,10,0,8387,1218,43855,8527
org.openrewrite.java.migrate.RemovedLegacySunJSSEProviderName,10,0,3655,958,24420,4643
org.openrewrite.java.RemoveMethodInvocations,10,0,0,0,663251,69362
org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceArrayWeakCompareAndSetToWeakCompareAndSetPlain,10,0,5108,1348,8022,918
org.openrewrite.java.migrate.jakarta.JavaxWebsocketToJakartaWebsocket,10,0,5492,583,62690,6920
org.openrewrite.java.spring.framework.MigrateResponseStatusExceptionGetRawStatusCodeMethod,10,0,0,0,1655230,237192
org.openrewrite.java.migrate.jakarta.JakartaEE10,10,0,17287,3357,14744,1723
org.openrewrite.java.migrate.javaee7.OpenJPAPersistenceProvider,10,0,5748,1474,18953,5000
org.openrewrite.java.migrate.jakarta.JakartaWebXml6,10,0,58922,55062,12352,3518
org.openrewrite.java.spring.boot2.MigrateDatabaseCredentialsForToolYaml,10,0,0,0,39400,2879
org.openrewrite.openapi.swagger.MigrateSwaggerDefinitionToOpenAPIDefinition,10,0,0,0,57000,5613
org.openrewrite.java.migrate.jakarta.JavaxResourceToJakartaResource,10,0,7880,1144,17028,2023
org.openrewrite.java.dependencies.AddDependency,10,0,120171654,55253339,15610542,749825
org.openrewrite.java.testing.junit5.UseMockitoExtension,10,0,21769,1749,63320,11776
org.openrewrite.java.spring.framework.EnvironmentAcceptsProfiles,10,0,0,0,250423,52949
